2020-05-25	"George Floyd dies in police custody"
2020-05-26	"Protests start; Chief Arradondo fires 4 police officers"
2020-05-27	"Looting and property destruction starts in Minneapolis"
2020-05-28	"State of emergency declared; Third Precinct burned; Looting in St. Paul"
2020-05-29	"Chauvin charged; Curfews announced; MN National Guard fully mobilized"
2020-05-30	"Last night of fires"
2020-05-31	"I-35 tanker trunk incident"
2020-06-03	"Remaining officers charged in Floyd murder"
2020-06-06	"Defund the police rally"
2020-06-08	"Seattle Capitol Hill Autonomous Zone started"
2020-07-01	"Seattle Capitol Hill Autonomous Zone cleared by police"
2020-07-07	"Demobilization of MN State National Guard"
2020-08-23	"Shooting of Jacob Blake in Kenosha"
2020-08-26	"Minneapolis false rumor riot"
2020-10-02	"Trump tests positive for COVID"
2020-11-02	"US 2020 presidential election"
2020-11-07	"Biden declared president-elect"
2021-01-06	"Abe's birthday; Capitol hill insurrection"
2021-01-08	"Trump banned from Twitter"
2021-01-08	"Trump banned from Twitter"
2021-01-20	"Biden innauguration"
2021-03-08	"Chauvin trial starts"
2021-03-16	"Atlanta spa shootings"
2021-04-11	"Daunte Wright shooting"
2021-04-20	"Chauvin guilty verdict"
